target_id,C_1,C_2,C_3,S_1,S_2,S_3,M_1,M_2,M_3,H_1,H_2,H_3,SM_1,SM_2,SM_3,SH_1,SH_2,SH_3,MH_1,MH_2,MH_3,SMH_1,SMH_2,SMH_3
AT1G01010.1,127.0254844,67.86770603,65.47708377,94.01454121,88.14106279,95.86897299,65.05216887,100.257487,126.7510962,95.43372619,134.9728024,117.1622076,96.69510627,104.4307152,98.14483159,94.66927799,96.06138872,101.2927001,82.80051146,107.3606046,97.0851703,100.1362461,96.70780492,121.7910928
AT1G01020.1,207.8598836,220.8090154,186.770698,192.5059653,225.1313893,197.7928285,234.1878079,196.9020915,179.3647587,312.9125061,365.9665246,318.0117064,169.0062292,179.5817906,186.47518,340.8094008,352.6018033,344.9969191,331.2020458,315.8399182,327.5398675,267.7111886,313.7381113,319.2582045
AT1G01030.1,32.71868537,34.41179461,55.81653042,33.57662186,15.92910773,31.28355961,21.37428406,29.80627991,33.48142163,47.7168631,38.95188257,51.14223348,25.22481033,31.23161575,34.35069106,61.00909026,65.54777112,61.17677926,44.97805561,36.20299457,55.8975223,45.98092934,42.73135566,56.75701413
AT1G01040.2,859.3466482,978.8243799,988.5966254,897.6150244,837.8710668,948.5982591,948.8323488,903.2206034,990.0934682,798.3398249,701.1338862,902.8928856,894.6399397,880.341169,837.1754134,782.5993647,776.4020476,698.0170224,843.3385427,810.1980509,777.6620207,807.2207596,786.0320423,853.7200875
AT1G01050.1,846.8365626,840.2213183,837.2479564,836.0578843,818.7561375,792.180461,802.0003105,761.4149687,719.850565,922.2201425,969.2677755,930.7886493,866.8926484,805.1900936,840.1197584,895.1506175,783.1828515,849.4546235,690.0042622,702.8374464,717.8418653,835.8311156,969.3270679,837.1659584
AT1G01060.1,658.2229646,698.7506071,636.5231258,532.7490668,410.9709795,519.7107483,741.5947251,782.1890425,877.6915527,36.7052793,20.83472788,20.45689339,857.6435512,853.0135052,878.3962427,29.45266426,39.55468947,19.05506239,33.73354171,39.94813194,16.67119086,49.04632463,33.73528079,26.01363147
AT1G01070.1,184.7643409,163.4560244,169.5963809,207.0558348,181.5918282,202.8385639,182.1460728,192.3859885,189.7280559,153.2445411,151.2782416,145.0579713,161.4387861,216.6693343,197.2711115,112.5512527,116.4038004,92.2666179,95.0672539,141.0668409,97.0851703,156.3351598,129.3185763,153.7169133
AT1G01080.2,1278.915672,1262.721685,1399.70684,931.1916462,941.9412373,989.9732895,1120.755938,1023.348944,769.2755208,1000.218861,760.0146389,895.4540152,728.9970185,838.3736853,855.8229314,898.3062601,861.1620965,872.521278,1051.873164,769.0015399,1023.80725,861.3760764,796.1526265,720.1046167
AT1G01090.1,2482.770831,2419.340337,2880.991686,2324.621453,2405.295268,2467.364621,2704.311591,2435.082747,2405.08212,1169.980778,970.1736332,1062.828598,2200.444288,2333.587289,2200.407124,1142.342621,1077.017688,1174.393582,1135.695904,855.1396994,1109.124521,910.422401,904.1055251,906.9297882
AT1G01100.1,2141.719173,1693.825001,2057.697862,1584.816552,1880.696653,1670.138424,2145.792256,2165.923007,1870.176551,1947.738657,2643.820719,2046.236987,1582.123309,1651.997099,1678.27662,2377.883791,1927.541018,2233.675706,1999.076738,1766.456459,2271.20459,1678.81482,1711.503245,1718.794082
